YEAR,FIPS,PLACE,GEO_ID,NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2021,604996,Bell Gardens,6037533901,Census Tract 5339.01,56721.0,8162.0,46955.0,16403.0,,,51351.0,43752.0,,,,,55994.0,17149.0,63279.0,6009.0,,,55704.0,8981.0
2021,604996,Bell Gardens,6037533902,Census Tract 5339.02,63028.0,8313.0,63309.0,10619.0,,,,,,,,,45196.0,25759.0,73041.0,43246.0,,,63544.0,6397.0
2021,604996,Bell Gardens,6037534001,Census Tract 5340.01,59915.0,4774.0,54777.0,8661.0,,,,,,,,,87579.0,9675.0,61275.0,19691.0,,,59625.0,4801.0
2021,604996,Bell Gardens,6037534002,Census Tract 5340.02,67602.0,11474.0,60689.0,14618.0,,,,,,,,,65627.0,19373.0,107317.0,74071.0,250001.0,,66868.0,12017.0
2021,604996,Bell Gardens,6037534101,Census Tract 5341.01,61715.0,27795.0,41925.0,20213.0,,,,,,,,,88432.0,40070.0,93681.0,27144.0,,,58807.0,19773.0
2021,604996,Bell Gardens,6037534102,Census Tract 5341.02,53063.0,10116.0,54531.0,13001.0,,,,,,,,,68409.0,21756.0,47408.0,21122.0,,,54981.0,10673.0
2021,604996,Bell Gardens,6037534201,Census Tract 5342.01,57154.0,4168.0,57419.0,14152.0,,,,,,,,,49803.0,16225.0,58238.0,11103.0,,,57350.0,3900.0
2021,604996,Bell Gardens,6037534202,Census Tract 5342.02,49431.0,9713.0,40249.0,6128.0,,,,,,,,,71844.0,27842.0,,,23073.0,11850.0,52367.0,9510.0
2021,604996,Bell Gardens,6037534203,Census Tract 5342.03,44575.0,8844.0,38472.0,3362.0,,,,,,,,,81880.0,20619.0,49416.0,9889.0,,,44650.0,8945.0
2021,604982,Bellflower,6037553100,Census Tract 5531,90744.0,20046.0,132448.0,37407.0,81184.0,42177.0,,,104988.0,78240.0,,,52758.0,22953.0,68715.0,33529.0,118740.0,37075.0,59652.0,31844.0
2021,604982,Bellflower,6037553201,Census Tract 5532.01,117849.0,36655.0,122800.0,48501.0,,,,,,,,,100592.0,39973.0,183651.0,40979.0,85937.0,26651.0,128729.0,33770.0
2021,604982,Bellflower,6037553202,Census Tract 5532.02,117036.0,23850.0,97162.0,23674.0,119584.0,43968.0,,,171437.0,98538.0,,,134257.0,62388.0,169498.0,55034.0,84509.0,30686.0,135613.0,11769.0
2021,604982,Bellflower,6037553300,Census Tract 5533,89600.0,22471.0,77378.0,26011.0,189647.0,116121.0,,,125084.0,25665.0,,,,,158066.0,98832.0,49241.0,28686.0,86862.0,35006.0
2021,604982,Bellflower,6037554001,Census Tract 5540.01,86380.0,8086.0,86075.0,5277.0,126525.0,36752.0,,,,,,,75971.0,62174.0,71952.0,59630.0,85672.0,7416.0,100944.0,44529.0
2021,604982,Bellflower,6037554002,Census Tract 5540.02,85819.0,21498.0,101781.0,9133.0,38817.0,10725.0,,,83006.0,37875.0,,,93206.0,24125.0,,,102964.0,31307.0,89121.0,19511.0
2021,604982,Bellflower,6037554101,Census Tract 5541.01,70938.0,18493.0,60223.0,23315.0,,,,,99982.0,35028.0,,,72884.0,21655.0,46202.0,32022.0,44425.0,14062.0,79642.0,18247.0
2021,604982,Bellflower,6037554105,Census Tract 5541.05,55532.0,11888.0,34156.0,9823.0,69086.0,17795.0,,,85603.0,32385.0,,,68032.0,24953.0,,,20835.0,11854.0,59823.0,12882.0
2021,604982,Bellflower,6037554106,Census Tract 5541.06,84095.0,13715.0,80368.0,20756.0,98381.0,27494.0,,,80280.0,14131.0,,,94027.0,58445.0,96120.0,33344.0,61450.0,21553.0,83493.0,18493.0
2021,604982,Bellflower,6037554201,Census Tract 5542.01,103640.0,9550.0,106530.0,27986.0,82837.0,40857.0,,,116693.0,5534.0,,,99234.0,18349.0,,,133777.0,30759.0,98939.0,17400.0
2021,604982,Bellflower,6037554203,Census Tract 5542.03,55659.0,23145.0,59202.0,16060.0,,,,,53863.0,49533.0,,,30004.0,4756.0,108960.0,66209.0,52009.0,9975.0,42998.0,39316.0
