YEAR,FIPS,PLACE,GEO_ID,NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,2023_CPI_DOLLARS_ADJ_FACTOR
2017,600884,Alhambra,6037480304,Census Tract 4803.04,40439.0,15265.0,55825.0,20225.0,,,,,34971.0,12776.0,,,,,,,73955.0,51802.0,52284.0,43787.0,1.223021582733813
2017,600884,Alhambra,6037480400,Census Tract 4804,74656.0,20631.0,85340.0,24027.0,,,,,67457.0,19175.0,,,,,,,94657.0,33330.0,62775.0,25882.0,1.223021582733813
2017,600884,Alhambra,6037480500,Census Tract 4805,136061.0,22195.0,138766.0,35651.0,,,,,113809.0,44692.0,,,147765.0,56342.0,245190.0,,135022.0,23574.0,158177.0,28939.0,1.223021582733813
2017,600884,Alhambra,6037480704,Census Tract 4807.04,92789.0,8236.0,89124.0,16933.0,,,,,92915.0,27977.0,,,93389.0,41076.0,164968.0,139498.0,103051.0,16758.0,76779.0,23400.0,1.223021582733813
2017,600884,Alhambra,6037480802,Census Tract 4808.02,73381.0,31007.0,116187.0,31410.0,,,,,53742.0,6170.0,,,68625.0,41183.0,,,,,86567.0,32784.0,1.223021582733813
2017,600884,Alhambra,6037480803,Census Tract 4808.03,87921.0,12252.0,81025.0,22197.0,,,,,94784.0,26707.0,,,71088.0,61144.0,147418.0,109097.0,78841.0,42310.0,82044.0,25315.0,1.223021582733813
2017,600884,Alhambra,6037480804,Census Tract 4808.04,73022.0,8783.0,75566.0,27182.0,,,,,68999.0,18235.0,,,75980.0,16573.0,,,79344.0,24580.0,74269.0,13006.0,1.223021582733813
2017,600884,Alhambra,6037480901,Census Tract 4809.01,77151.0,16661.0,50332.0,18481.0,,,,,68413.0,37658.0,,,91115.0,43664.0,126888.0,52570.0,49861.0,23705.0,87140.0,14940.0,1.223021582733813
2017,600884,Alhambra,6037480902,Census Tract 4809.02,56948.0,10980.0,49991.0,26274.0,,,,,59072.0,18448.0,,,51032.0,23461.0,111734.0,17050.0,,,55457.0,13089.0,1.223021582733813
2017,600884,Alhambra,6037480903,Census Tract 4809.03,82117.0,32664.0,93255.0,31852.0,,,,,64626.0,33523.0,,,82824.0,69506.0,,,,,85341.0,22661.0,1.223021582733813
