YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013I_001E,B19013I_001M
2013,06037400205,Census Tract 4002.05,Claremont,Los Angeles County,California,Claremont,183571,192729
2013,06037400206,Census Tract 4002.06,Claremont,Los Angeles County,California,Claremont,98438,44720
2013,06037401701,Census Tract 4017.01,Claremont,Los Angeles County,California,Claremont,95000,7584
2013,06037401800,Census Tract 4018,Claremont,Los Angeles County,California,Claremont,106375,21213
2013,06037401901,Census Tract 4019.01,Claremont,Los Angeles County,California,Claremont,46210,20004
2013,06037401902,Census Tract 4019.02,Claremont,Los Angeles County,California,Claremont,75583,33754
2013,06037402001,Census Tract 4020.01,Claremont,Los Angeles County,California,Claremont,50648,17719
2013,06037402002,Census Tract 4020.02,Claremont,Los Angeles County,California,Claremont,71464,9110
2013,06037531302,Census Tract 5313.02,Commerce,Los Angeles County,California,Commerce,36731,4939
2013,06037531901,Census Tract 5319.01,Commerce,Los Angeles County,California,Commerce,42534,5845
2013,06037532001,Census Tract 5320.01,Commerce,Los Angeles County,California,Commerce,39705,5575
2013,06037532200,Census Tract 5322,Commerce,Los Angeles County,California,Commerce,50857,9423
2013,06037532302,Census Tract 5323.02,Commerce,Los Angeles County,California,Commerce,47440,7095
2013,06037532303,Census Tract 5323.03,Commerce,Los Angeles County,California,Commerce,51938,9174
2013,06037532304,Census Tract 5323.04,Commerce,Los Angeles County,California,Commerce,45121,11317
2013,06037532400,Census Tract 5324,Commerce,Los Angeles County,California,Commerce,30938,20133
2013,06037533703,Census Tract 5337.03,Commerce,Los Angeles County,California,Commerce,36719,8592
2013,06037541100,Census Tract 5411,Compton,Los Angeles County,California,Compton,46000,16836
2013,06037541200,Census Tract 5412,Compton,Los Angeles County,California,Compton,64476,18468
2013,06037541300,Census Tract 5413,Compton,Los Angeles County,California,Compton,49148,18892
2013,06037541603,Census Tract 5416.03,Compton,Los Angeles County,California,Compton,28816,6758
2013,06037541604,Census Tract 5416.04,Compton,Los Angeles County,California,Compton,37426,7318
2013,06037541605,Census Tract 5416.05,Compton,Los Angeles County,California,Compton,40273,3569
2013,06037541606,Census Tract 5416.06,Compton,Los Angeles County,California,Compton,35990,6831
2013,06037541801,Census Tract 5418.01,Compton,Los Angeles County,California,Compton,51667,11866
2013,06037541802,Census Tract 5418.02,Compton,Los Angeles County,California,Compton,50792,4745
2013,06037542000,Census Tract 5420,Compton,Los Angeles County,California,Compton,42813,14395
