YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013D_001E,B19013D_001M
2013,06037401901,Census Tract 4019.01,Claremont,Los Angeles County,California,Claremont,,
2013,06037401902,Census Tract 4019.02,Claremont,Los Angeles County,California,Claremont,62880,4928
2013,06037402001,Census Tract 4020.01,Claremont,Los Angeles County,California,Claremont,43598,19132
2013,06037402002,Census Tract 4020.02,Claremont,Los Angeles County,California,Claremont,63750,85068
2013,06037531302,Census Tract 5313.02,Commerce,Los Angeles County,California,Commerce,,
2013,06037531901,Census Tract 5319.01,Commerce,Los Angeles County,California,Commerce,,
2013,06037532001,Census Tract 5320.01,Commerce,Los Angeles County,California,Commerce,,
2013,06037532200,Census Tract 5322,Commerce,Los Angeles County,California,Commerce,33611,29260
2013,06037532302,Census Tract 5323.02,Commerce,Los Angeles County,California,Commerce,,
2013,06037532303,Census Tract 5323.03,Commerce,Los Angeles County,California,Commerce,,
2013,06037532304,Census Tract 5323.04,Commerce,Los Angeles County,California,Commerce,,
2013,06037532400,Census Tract 5324,Commerce,Los Angeles County,California,Commerce,,
2013,06037533703,Census Tract 5337.03,Commerce,Los Angeles County,California,Commerce,,
2013,06037541100,Census Tract 5411,Compton,Los Angeles County,California,Compton,,
2013,06037541200,Census Tract 5412,Compton,Los Angeles County,California,Compton,,
2013,06037541300,Census Tract 5413,Compton,Los Angeles County,California,Compton,,
2013,06037541603,Census Tract 5416.03,Compton,Los Angeles County,California,Compton,,
2013,06037541604,Census Tract 5416.04,Compton,Los Angeles County,California,Compton,,
2013,06037541605,Census Tract 5416.05,Compton,Los Angeles County,California,Compton,,
2013,06037541606,Census Tract 5416.06,Compton,Los Angeles County,California,Compton,,
2013,06037541801,Census Tract 5418.01,Compton,Los Angeles County,California,Compton,,
2013,06037541802,Census Tract 5418.02,Compton,Los Angeles County,California,Compton,,
2013,06037542000,Census Tract 5420,Compton,Los Angeles County,California,Compton,,
2013,06037542103,Census Tract 5421.03,Compton,Los Angeles County,California,Compton,,
2013,06037542104,Census Tract 5421.04,Compton,Los Angeles County,California,Compton,,
2013,06037542105,Census Tract 5421.05,Compton,Los Angeles County,California,Compton,,
2013,06037542106,Census Tract 5421.06,Compton,Los Angeles County,California,Compton,25833,21408
2013,06037542200,Census Tract 5422,Compton,Los Angeles County,California,Compton,,
